County	Manor	Estate	start	end	wheat_gross_yield_per_seed_ratio
Berkshire	Brightwell	Bishop of Winchester	1387	1388	7.6
Berkshire	Brightwell	Bishop of Winchester	1388	1389	4.11
Berkshire	Brightwell	Bishop of Winchester	1389	1390	5.69
Berkshire	Brightwell	Bishop of Winchester	1390	1391	
Berkshire	Brightwell	Bishop of Winchester	1391	1392	
Berkshire	Brightwell	Bishop of Winchester	1392	1393	4.23
Berkshire	Brightwell	Bishop of Winchester	1393	1394	5.74
Berkshire	Brightwell	Bishop of Winchester	1394	1395	5.32
Berkshire	Brightwell	Bishop of Winchester	1395	1396	4.53
Berkshire	Brightwell	Bishop of Winchester	1396	1397	
Berkshire	Brightwell	Bishop of Winchester	1397	1398	
Berkshire	Brightwell	Bishop of Winchester	1398	1399	
Berkshire	Brightwell	Bishop of Winchester	1399	1400	5.32
Berkshire	Brightwell	Bishop of Winchester	1400	1401	4.82
Berkshire	Brightwell	Bishop of Winchester	1401	1402	4.73
Berkshire	Brightwell	Bishop of Winchester	1402	1403	
Berkshire	Brightwell	Bishop of Winchester	1403	1404	
Berkshire	Brightwell	Bishop of Winchester	1404	1405	7.06
Berkshire	Brightwell	Bishop of Winchester	1405	1406	4.17
Berkshire	Brightwell	Bishop of Winchester	1406	1407	
Berkshire	Brightwell	Bishop of Winchester	1407	1408	4.76
Berkshire	Brightwell	Bishop of Winchester	1408	1409	4.55
Berkshire	Brightwell	Bishop of Winchester	1409	1410	4.92
Berkshire	Brightwell	Bishop of Winchester	1410	1411	4.81
Berkshire	Brightwell	Bishop of Winchester	1411	1412	4.67
Berkshire	Brightwell	Bishop of Winchester	1412	1413	5.97
Berkshire	Brightwell	Bishop of Winchester	1413	1414	5.56
Berkshire	Brightwell	Bishop of Winchester	1414	1415	4.35
Berkshire	Brightwell	Bishop of Winchester	1415	1416	3.4
Berkshire	Brightwell	Bishop of Winchester	1416	1417	
Berkshire	Brightwell	Bishop of Winchester	1417	1418	
Berkshire	Brightwell	Bishop of Winchester	1418	1419	5.12
Berkshire	Brightwell	Bishop of Winchester	1419	1420	3.3
Berkshire	Brightwell	Bishop of Winchester	1420	1421	5.94
Berkshire	Brightwell	Bishop of Winchester	1421	1422	6.3
Berkshire	Brightwell	Bishop of Winchester	1422	1423	5.28
Berkshire	Brightwell	Bishop of Winchester	1423	1424	5.94
Berkshire	Brightwell	Bishop of Winchester	1424	1425	
Berkshire	Brightwell	Bishop of Winchester	1425	1426	
Berkshire	Brightwell	Bishop of Winchester	1426	1427	6.76
Berkshire	Brightwell	Bishop of Winchester	1427	1428	
Berkshire	Brightwell	Bishop of Winchester	1428	1429	6.1
Berkshire	Brightwell	Bishop of Winchester	1429	1430	6.36
Berkshire	Brightwell	Bishop of Winchester	1430	1431	7.06
Berkshire	Brightwell	Bishop of Winchester	1431	1432	3.54
Berkshire	Brightwell	Bishop of Winchester	1432	1433	6.92
Berkshire	Brightwell	Bishop of Winchester	1433	1434	6.92
Berkshire	Brightwell	Bishop of Winchester	1434	1435	6.5
Berkshire	Brightwell	Bishop of Winchester	1435	1436	
Berkshire	Brightwell	Bishop of Winchester	1436	1437	
Berkshire	Brightwell	Bishop of Winchester	1437	1438	
Berkshire	Brightwell	Bishop of Winchester	1438	1439	
Berkshire	Brightwell	Bishop of Winchester	1439	1440	6.91
Berkshire	Brightwell	Bishop of Winchester	1440	1441	7.03
Berkshire	Brightwell	Bishop of Winchester	1441	1442	
Berkshire	Brightwell	Bishop of Winchester	1442	1443	
Berkshire	Brightwell	Bishop of Winchester	1443	1444	
Berkshire	Brightwell	Bishop of Winchester	1444	1445	
Berkshire	Brightwell	Bishop of Winchester	1445	1446	
Berkshire	Brightwell	Bishop of Winchester	1446	1447	4.19
Berkshire	Brightwell	Bishop of Winchester	1447	1448	5.24
Berkshire	Brightwell	Bishop of Winchester	1448	1449	
Berkshire	Brightwell	Bishop of Winchester	1449	1450	
Berkshire	Brightwell	Bishop of Winchester	1450	1451	
Berkshire	Brightwell	Bishop of Winchester	1451	1452	
Berkshire	Brightwell	Bishop of Winchester	1452	1453	
Berkshire	Brightwell	Bishop of Winchester	1453	1454	
Berkshire	Brightwell	Bishop of Winchester	1454	1455	
Berkshire	Brightwell	Bishop of Winchester	1455	1456	
Berkshire	Brightwell	Bishop of Winchester	1456	1457	
Berkshire	Brightwell	Bishop of Winchester	1457	1458	
