The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Berkshire,Billingbear,Bishop of Winchester,1449,1450,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1450,1451,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1451,1452,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1452,1453,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1453,1454,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1454,1455,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1455,1456,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1456,1457,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1457,1458,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Billingbear,Bishop of Winchester,1458,1459,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1210,1211,3.97,9.21,0,3.19,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1217,1218,5.65,3.13,0,1.38,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1218,1219,5.96,4.58,0,2.82,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1219,1220,,5.4,0,1.95,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1223,1224,3.18,3.75,0,1.66,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1224,1225,5.6,4.68,0,2.29,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1225,1226,2.37,4.25,0,1.03,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1231,1232,4.19,5.09,2.81,1.63,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1235,1236,6.2,3.89,4.7,3.37,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1244,1245,5.19,6.16,2.01,2.41,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1245,1246,3.48,5.07,3.16,2.4,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1246,1247,3.34,4.45,2.92,2.17,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1247,1248,4.8,6.03,2.95,3.58,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1251,1252,3.59,3.92,2.08,3.31,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1252,1253,5.21,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1253,1254,4.54,5.61,0.83,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1256,1257,3.33,5.21,2.38,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1264,1265,3.97,4.63,1.6,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1267,1268,3.82,3.93,3.26,2.25,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1268,1269,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1269,1270,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1270,1271,4.18,5.07,3.13,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1271,1272,4.11,4.45,2.69,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1272,1273,2.51,3.71,1.37,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1273,1274,3.81,5.04,3.92,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1276,1277,6.36,6.85,4.33,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1282,1283,3.4,6.01,3.53,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1283,1284,4.69,5.22,2.59,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1284,1285,4.41,4.74,1.84,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1285,1286,4.12,4.25,1.18,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1286,1287,4.06,4.92,4.58,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1287,1288,4.23,4.6,3.05,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1288,1289,3.2,4.64,2.6,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1289,1290,3.63,2.77,2.22,3.65,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1290,1291,5.21,4.09,3.51,3.64,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1291,1292,3.71,4.5,2.16,2.83,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1295,1296,,,,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1296,1297,3.77,3.15,1.71,1.19,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1297,1298,3.66,3.22,1.9,2.25,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1298,1299,5.08,4.6,2.97,2.38,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1299,1300,3.2,5.21,3.04,1.21,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1300,1301,4.45,5.33,3.01,0.92,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1301,1302,2.88,3.64,2.06,1.43,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1304,1305,5.57,5.34,2.65,0.95,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1305,1306,3.71,5.06,3.65,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1306,1307,4.98,7.29,3.53,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1307,1308,3.89,6.5,6.18,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1308,1309,5.78,6.11,1.25,,Titow (to 1349); Farmer (from 1350)
Berkshire,Brightwell,Bishop of Winchester,1309,1310,3.66,6.11,3.81,,Titow (to 1349); Farmer (from 1350)
