The entries matching your request:  (A maximun result of 3000 entries is viewable at anyone time)
county name,manor name,estate name,start year,end year,wheat gross yield per seed ratio,barley gross yield per seed ratio,dredge gross yield per seed ratio,oats gross yield per seed ratio,source
Hampshire,Alresford,Bishop of Winchester,1373,1374,2.83,4.75,,2.33,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1374,1375,3.44,5.15,,2.34,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1375,1376,3.39,4.31,,2.04,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1376,1377,4.15,4.66,,2.57,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1377,1378,5.01,5.8,,2.65,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1378,1379,2.53,4.21,,1.42,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1379,1380,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1380,1381,3.31,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1381,1382,2.84,4.86,,2.25,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1382,1383,3.93,3.94,,2.53,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1383,1384,3.76,4.05,,3.6,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1384,1385,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1385,1386,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1386,1387,3.75,4.81,,2.8,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1387,1388,3.93,4.82,,2.37,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1388,1389,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1389,1390,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1390,1391,,,,,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1391,1392,,,,2.23,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1392,1393,3.09,4.07,,2.42,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1393,1394,4.47,2.22,,1.95,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1394,1395,2.41,3.54,,2.96,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1395,1396,1.4,3.33,,2.87,Titow (to 1349); Farmer (from 1350)
Hampshire,Alresford,Bishop of Winchester,1396,1397,,,,,Titow (to 1349); Farmer (from 1350)
